patient_id,age,gender,state,blood_group,abha_id
P0474,77,Male,Punjab,B+,91-4226-7837-8031
P0475,73,Female,Uttar Pradesh,A+,91-4716-4414-2448
P0476,45,Female,Uttar Pradesh,O+,91-1570-3904-3505
P0477,57,Male,Delhi,B+,91-1917-7982-8427
P0478,60,Male,Haryana,O-,91-7336-2678-1615
P0479,49,Male,Haryana,O+,91-8086-5749-4505
P0480,85,Female,Uttar Pradesh,O+,91-5529-2135-9566
P0481,50,Male,Delhi,A+,91-8226-6162-1206
P0482,53,Female,Delhi,O+,91-5875-2319-2141
P0483,74,Female,Punjab,A+,91-5627-8389-3690
P0484,33,Male,Haryana,A+,91-8323-4255-9281
P0485,44,Female,Delhi,O+,91-6213-5108-4020
P0486,50,Female,Delhi,A+,91-2857-9996-3789
P0487,50,Male,Punjab,B+,91-4875-8605-9135
P0488,35,Female,Delhi,O+,91-7055-4882-8175
P0489,41,Male,Uttar Pradesh,B+,91-8129-6021-5735
P0490,49,Female,Uttar Pradesh,A-,91-3387-7582-6866
P0491,44,Female,Delhi,O+,91-3566-1975-8212
P0492,42,Female,Uttar Pradesh,A+,91-2262-6047-8382
P0493,49,Female,Delhi,O+,91-7231-4327-6630
P0494,69,Female,Delhi,O-,91-3259-2257-1464
P0495,64,Female,Uttar Pradesh,O+,91-4294-7774-8431
P0496,41,Female,Rajasthan,O+,91-2230-4805-7419
P0497,52,Female,Uttar Pradesh,A-,91-6750-4856-4135
P0498,71,Male,Haryana,A+,91-7953-7034-5589
P0499,53,Male,Delhi,O+,91-2546-7065-2094
P0500,52,Male,Delhi,O+,91-3411-3617-9954
